Brand,Description,Size,SalesQuantity,SalesPrice,SalesDate
1376,Jim Beam,1.75L,1,21.99,2016-01-01
4262,Capt Morgan Spiced Rum,750mL,1,16.99,2016-01-01
3857,Grey Goose Vodka,1.75L,1,48.99,2016-01-01
8512,Baileys Irish Cream,750mL,3,18.99,2016-01-01
1385,Makers Mark,750mL,3,26.99,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,14,35.99,2016-01-01
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-01
3826,Skyy Vodka,1.75L,1,19.99,2016-01-01
3876,Smirnoff 80 Proof,1.75L,3,17.99,2016-01-01
5103,Fireball Cinnamon Whisky,1.75L,1,25.17,2016-01-01
19748,Clos du Bois Chard,1.5L,1,15.99,2016-01-01
8159,Jose Cuervo Especial,1.75L,5,25.99,2016-01-01
1737,Makers Mark,1.75L,1,48.99,2016-01-01
2663,Dewars White Label,1.75L,8,29.99,2016-01-01
3545,Ketel One Vodka,1.75L,3,31.99,2016-01-01
4261,Capt Morgan Spiced Rum,1.75L,2,21.99,2016-01-01
3489,Tanqueray,1.75L,1,27.99,2016-01-01
8159,Jose Cuervo Especial,1.75L,1,25.99,2016-01-01
3857,Grey Goose Vodka,1.75L,1,48.99,2016-01-01
3348,Bombay Sapphire Gin,1.75L,1,29.99,2016-01-01
2120,Canadian Club,1.75L,4,17.15,2016-01-01
5138,Fireball Cinnamon Whisky,750mL,3,14.03,2016-01-01
2120,Canadian Club,1.75L,2,15.99,2016-01-01
3893,Zhenka 80 Proof,1.75L,1,9.99,2016-01-01
3405,Tito's Handmade Vodka,1.75L,6,29.99,2016-01-01
3505,Tito's Handmade Vodka,750mL,5,18.99,2016-01-01
3876,Smirnoff 80 Proof,1.75L,3,17.99,2016-01-01
4261,Capt Morgan Spiced Rum,1.75L,2,21.99,2016-01-01
4261,Capt Morgan Spiced Rum,1.75L,10,21.99,2016-01-01
3858,Grey Goose Vodka,750mL,8,23.99,2016-01-01
2432,Crown Royal,750mL,4,21.99,2016-01-01
1385,Makers Mark,750mL,1,26.99,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,15,35.99,2016-01-01
4227,Bacardi Superior Rum Trav,1.75L,1,17.99,2016-01-01
1376,Jim Beam,1.75L,2,22.03,2016-01-01
3913,Svedka Vodka,1.75L,1,17.99,2016-01-01
3650,Patron Silver Tequila,750mL,1,48.99,2016-01-01
8680,Crown Royal,1.75L,1,38.99,2016-01-01
3893,Zhenka 80 Proof,1.75L,3,9.99,2016-01-01
3423,Beefeater,1.75L,1,26.99,2016-01-01
2589,Jameson Irish Whiskey,1.75L,2,39.99,2016-01-01
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-01
5138,Fireball Cinnamon Whisky,750mL,3,13.99,2016-01-01
3489,Tanqueray,1.75L,2,27.99,2016-01-01
5365,Kahlua,750mL,2,18.99,2016-01-01
3802,Three Olives Vodka,1.75L,2,18.99,2016-01-01
3405,Tito's Handmade Vodka,1.75L,8,29.99,2016-01-01
3802,Three Olives Vodka,1.75L,3,18.99,2016-01-01
3826,Skyy Vodka,1.75L,1,20.43,2016-01-01
5364,Kahlua,1.75L,5,29.99,2016-01-01
4261,Capt Morgan Spiced Rum,1.75L,2,21.99,2016-01-01
4262,Capt Morgan Spiced Rum,750mL,1,16.99,2016-01-01
19748,Clos du Bois Chard,1.5L,1,15.99,2016-01-01
2127,Canadian Ltd,1.75L,2,10.49,2016-01-01
2432,Crown Royal,750mL,2,21.99,2016-01-01
2120,Canadian Club,1.75L,2,16.46,2016-01-01
5365,Kahlua,750mL,1,18.99,2016-01-01
3505,Tito's Handmade Vodka,750mL,6,18.99,2016-01-01
3405,Tito's Handmade Vodka,1.75L,2,29.99,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,2,38.35,2016-01-01
2585,Jameson Irish Whiskey,750mL,1,22.99,2016-01-01
2757,Johnnie Walker Red Label,1.75L,6,29.99,2016-01-01
5365,Kahlua,750mL,1,18.99,2016-01-01
3505,Tito's Handmade Vodka,750mL,2,18.99,2016-01-01
1376,Jim Beam,1.75L,3,21.99,2016-01-01
1737,Makers Mark,1.75L,2,48.99,2016-01-01
6650,Simi Chard,750mL,1,14.99,2016-01-01
4261,Capt Morgan Spiced Rum,1.75L,6,21.99,2016-01-01
5365,Kahlua,750mL,10,18.99,2016-01-01
3348,Bombay Sapphire Gin,1.75L,1,29.99,2016-01-01
6579,J Lohr Riverstone Chard,750mL,4,9.99,2016-01-01
1376,Jim Beam,1.75L,2,21.99,2016-01-01
3876,Smirnoff 80 Proof,1.75L,1,19.12,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,2,35.99,2016-01-01
3650,Patron Silver Tequila,750mL,1,48.99,2016-01-01
3423,Beefeater,1.75L,1,26.99,2016-01-01
6570,Kendall Jackson Chard Vt RSV,750mL,8,10.78,2016-01-01
3802,Three Olives Vodka,1.75L,2,18.99,2016-01-01
5365,Kahlua,750mL,2,18.99,2016-01-01
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-01
2114,Black Velvet Canadian Whisky,1.75L,1,12.99,2016-01-01
2585,Jameson Irish Whiskey,750mL,2,22.99,2016-01-01
1385,Makers Mark,750mL,1,26.99,2016-01-01
3650,Patron Silver Tequila,750mL,1,48.99,2016-01-01
5365,Kahlua,750mL,2,18.99,2016-01-01
2432,Crown Royal,750mL,1,22.56,2016-01-01
2114,Black Velvet Canadian Whisky,1.75L,1,12.99,2016-01-01
2432,Crown Royal,750mL,3,21.99,2016-01-01
2120,Canadian Club,1.75L,1,15.99,2016-01-01
3650,Patron Silver Tequila,750mL,2,48.99,2016-01-01
3489,Tanqueray,1.75L,5,27.99,2016-01-01
5364,Kahlua,1.75L,1,29.99,2016-01-01
8680,Crown Royal,1.75L,1,38.99,2016-01-01
2114,Black Velvet Canadian Whisky,1.75L,1,12.99,2016-01-01
3826,Skyy Vodka,1.75L,1,19.99,2016-01-01
2585,Jameson Irish Whiskey,750mL,3,22.99,2016-01-01
3876,Smirnoff 80 Proof,1.75L,1,17.99,2016-01-01
8112,Stolichnaya,1.75L,10,25.96,2016-01-01
3913,Svedka Vodka,1.75L,1,17.99,2016-01-01
6570,Kendall Jackson Chard Vt RSV,750mL,20,9.95,2016-01-01
3857,Grey Goose Vodka,1.75L,1,48.99,2016-01-01
8159,Jose Cuervo Especial,1.75L,1,25.99,2016-01-01
2585,Jameson Irish Whiskey,750mL,2,22.99,2016-01-01
3405,Tito's Handmade Vodka,1.75L,2,29.99,2016-01-01
5103,Fireball Cinnamon Whisky,1.75L,1,23.99,2016-01-01
3876,Smirnoff 80 Proof,1.75L,8,18.14,2016-01-01
5365,Kahlua,750mL,5,18.99,2016-01-01
3405,Tito's Handmade Vodka,1.75L,3,29.99,2016-01-01
3489,Tanqueray,1.75L,2,27.99,2016-01-01
3858,Grey Goose Vodka,750mL,1,23.99,2016-01-01
5103,Fireball Cinnamon Whisky,1.75L,1,23.99,2016-01-01
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-01
3876,Smirnoff 80 Proof,1.75L,1,17.99,2016-01-01
8082,Baileys Irish Cream,1.75L,2,29.99,2016-01-01
8680,Crown Royal,1.75L,1,38.99,2016-01-01
3893,Zhenka 80 Proof,1.75L,1,9.99,2016-01-01
3512,Pinnacle Vodka,1.75L,2,15.99,2016-01-01
1376,Jim Beam,1.75L,3,21.99,2016-01-01
3545,Ketel One Vodka,1.75L,3,31.99,2016-01-01
3893,Zhenka 80 Proof,1.75L,5,9.99,2016-01-01
3512,Pinnacle Vodka,1.75L,5,15.99,2016-01-01
5103,Fireball Cinnamon Whisky,1.75L,1,23.99,2016-01-01
2127,Canadian Ltd,1.75L,1,10.49,2016-01-01
6570,Kendall Jackson Chard Vt RSV,750mL,8,10.11,2016-01-02
5364,Kahlua,1.75L,8,29.99,2016-01-02
4261,Capt Morgan Spiced Rum,1.75L,25,21.99,2016-01-02
1232,Jack Daniels No 7 Black,750mL,1,26.99,2016-01-02
1385,Makers Mark,750mL,1,26.99,2016-01-02
2127,Canadian Ltd,1.75L,6,10.49,2016-01-02
3876,Smirnoff 80 Proof,1.75L,4,18.26,2016-01-02
6650,Simi Chard,750mL,3,14.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,6,29.99,2016-01-02
2120,Canadian Club,1.75L,2,16.51,2016-01-02
3505,Tito's Handmade Vodka,750mL,4,18.99,2016-01-02
5365,Kahlua,750mL,3,18.99,2016-01-02
2589,Jameson Irish Whiskey,1.75L,1,42.73,2016-01-02
3545,Ketel One Vodka,1.75L,8,31.99,2016-01-02
3893,Zhenka 80 Proof,1.75L,6,9.99,2016-01-02
2585,Jameson Irish Whiskey,750mL,2,22.99,2016-01-02
5364,Kahlua,1.75L,7,29.99,2016-01-02
3348,Bombay Sapphire Gin,1.75L,1,29.99,2016-01-02
2127,Canadian Ltd,1.75L,2,10.49,2016-01-02
3545,Ketel One Vodka,1.75L,4,31.99,2016-01-02
8082,Baileys Irish Cream,1.75L,3,29.99,2016-01-02
11219,Josh Cellars Cab Svgn Sonoma,750mL,1,13.99,2016-01-02
2114,Black Velvet Canadian Whisky,1.75L,1,12.99,2016-01-02
5103,Fireball Cinnamon Whisky,1.75L,3,25.06,2016-01-02
6579,J Lohr Riverstone Chard,750mL,12,9.99,2016-01-02
2589,Jameson Irish Whiskey,1.75L,62,39.99,2016-01-02
2120,Canadian Club,1.75L,4,16.19,2016-01-02
3545,Ketel One Vodka,1.75L,6,31.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,5,29.99,2016-01-02
3876,Smirnoff 80 Proof,1.75L,5,17.99,2016-01-02
3858,Grey Goose Vodka,750mL,1,23.99,2016-01-02
3423,Beefeater,1.75L,1,26.99,2016-01-02
4262,Capt Morgan Spiced Rum,750mL,2,16.99,2016-01-02
8680,Crown Royal,1.75L,4,38.99,2016-01-02
8112,Stolichnaya,1.75L,3,24.99,2016-01-02
5103,Fireball Cinnamon Whisky,1.75L,11,25.2,2016-01-02
5138,Fireball Cinnamon Whisky,750mL,9,13.99,2016-01-02
4261,Capt Morgan Spiced Rum,1.75L,9,21.99,2016-01-02
2589,Jameson Irish Whiskey,1.75L,1,40.48,2016-01-02
2589,Jameson Irish Whiskey,1.75L,3,39.99,2016-01-02
2432,Crown Royal,750mL,1,21.99,2016-01-02
3876,Smirnoff 80 Proof,1.75L,7,18.61,2016-01-02
1233,Jack Daniels No 7 Black,1.75L,4,38.14,2016-01-02
2585,Jameson Irish Whiskey,750mL,2,22.99,2016-01-02
5364,Kahlua,1.75L,2,29.99,2016-01-02
8068,Absolut 80 Proof,1.75L,1,24.99,2016-01-02
11219,Josh Cellars Cab Svgn Sonoma,750mL,11,13.99,2016-01-02
3876,Smirnoff 80 Proof,1.75L,4,18.56,2016-01-02
3893,Zhenka 80 Proof,1.75L,4,9.99,2016-01-02
2114,Black Velvet Canadian Whisky,1.75L,2,12.99,2016-01-02
8512,Baileys Irish Cream,750mL,2,18.99,2016-01-02
6579,J Lohr Riverstone Chard,750mL,3,9.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,31,29.99,2016-01-02
3545,Ketel One Vodka,1.75L,5,31.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,16,29.99,2016-01-02
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-02
1376,Jim Beam,1.75L,1,21.99,2016-01-02
3913,Svedka Vodka,1.75L,3,17.99,2016-01-02
3876,Smirnoff 80 Proof,1.75L,14,17.99,2016-01-02
14006,Apothic Winemakers Red Blend,750mL,4,9.99,2016-01-02
2127,Canadian Ltd,1.75L,48,10.49,2016-01-02
3489,Tanqueray,1.75L,1,27.99,2016-01-02
8159,Jose Cuervo Especial,1.75L,1,25.99,2016-01-02
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-02
2114,Black Velvet Canadian Whisky,1.75L,6,12.99,2016-01-02
2585,Jameson Irish Whiskey,750mL,2,22.99,2016-01-02
3348,Bombay Sapphire Gin,1.75L,1,29.99,2016-01-02
3802,Three Olives Vodka,1.75L,2,18.99,2016-01-02
2120,Canadian Club,1.75L,7,15.99,2016-01-02
3545,Ketel One Vodka,1.75L,4,31.99,2016-01-02
3348,Bombay Sapphire Gin,1.75L,1,29.99,2016-01-02
14006,Apothic Winemakers Red Blend,750mL,2,9.99,2016-01-02
8680,Crown Royal,1.75L,4,38.99,2016-01-02
8512,Baileys Irish Cream,750mL,3,18.99,2016-01-02
2120,Canadian Club,1.75L,2,16.48,2016-01-02
8068,Absolut 80 Proof,1.75L,8,24.99,2016-01-02
2127,Canadian Ltd,1.75L,1,10.49,2016-01-02
3505,Tito's Handmade Vodka,750mL,1,18.99,2016-01-02
8512,Baileys Irish Cream,750mL,1,18.99,2016-01-02
2757,Johnnie Walker Red Label,1.75L,9,29.99,2016-01-02
3826,Skyy Vodka,1.75L,1,19.99,2016-01-02
8680,Crown Royal,1.75L,5,38.99,2016-01-02
8112,Stolichnaya,1.75L,1,24.99,2016-01-02
8112,Stolichnaya,1.75L,1,24.99,2016-01-02
8082,Baileys Irish Cream,1.75L,1,29.99,2016-01-02
5364,Kahlua,1.75L,2,29.99,2016-01-02
8159,Jose Cuervo Especial,1.75L,4,25.99,2016-01-02
4262,Capt Morgan Spiced Rum,750mL,1,16.99,2016-01-02
2589,Jameson Irish Whiskey,1.75L,1,39.99,2016-01-02
2127,Canadian Ltd,1.75L,12,10.49,2016-01-02
2120,Canadian Club,1.75L,1,15.99,2016-01-02
3489,Tanqueray,1.75L,1,27.99,2016-01-02
2585,Jameson Irish Whiskey,750mL,1,22.99,2016-01-02
3512,Pinnacle Vodka,1.75L,28,15.99,2016-01-02
3489,Tanqueray,1.75L,1,27.99,2016-01-02
3857,Grey Goose Vodka,1.75L,1,48.99,2016-01-02
3802,Three Olives Vodka,1.75L,12,18.99,2016-01-02
3348,Bombay Sapphire Gin,1.75L,3,29.99,2016-01-02
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-02
3423,Beefeater,1.75L,2,26.99,2016-01-02
6579,J Lohr Riverstone Chard,750mL,2,9.99,2016-01-02
4261,Capt Morgan Spiced Rum,1.75L,3,21.99,2016-01-02
3802,Three Olives Vodka,1.75L,6,18.99,2016-01-02
19748,Clos du Bois Chard,1.5L,1,15.99,2016-01-02
3650,Patron Silver Tequila,750mL,3,48.99,2016-01-02
1232,Jack Daniels No 7 Black,750mL,1,26.99,2016-01-02
8512,Baileys Irish Cream,750mL,4,18.99,2016-01-02
1385,Makers Mark,750mL,5,26.99,2016-01-02
1376,Jim Beam,1.75L,12,21.99,2016-01-02
3802,Three Olives Vodka,1.75L,2,18.99,2016-01-02
3802,Three Olives Vodka,1.75L,1,18.99,2016-01-02
5364,Kahlua,1.75L,2,29.99,2016-01-02
2585,Jameson Irish Whiskey,750mL,5,22.99,2016-01-02
1376,Jim Beam,1.75L,22,21.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,1,29.99,2016-01-02
2432,Crown Royal,750mL,1,21.99,2016-01-02
5138,Fireball Cinnamon Whisky,750mL,4,13.99,2016-01-02
6570,Kendall Jackson Chard Vt RSV,750mL,13,10.12,2016-01-02
8512,Baileys Irish Cream,750mL,1,18.99,2016-01-02
3858,Grey Goose Vodka,750mL,3,23.99,2016-01-02
3512,Pinnacle Vodka,1.75L,5,15.99,2016-01-02
11219,Josh Cellars Cab Svgn Sonoma,750mL,4,13.99,2016-01-02
5138,Fireball Cinnamon Whisky,750mL,1,14.01,2016-01-02
3489,Tanqueray,1.75L,4,27.99,2016-01-02
2432,Crown Royal,750mL,2,21.99,2016-01-02
1232,Jack Daniels No 7 Black,750mL,1,26.99,2016-01-02
3545,Ketel One Vodka,1.75L,3,31.99,2016-01-02
3826,Skyy Vodka,1.75L,1,19.99,2016-01-02
1385,Makers Mark,750mL,1,26.99,2016-01-02
5138,Fireball Cinnamon Whisky,750mL,4,14.26,2016-01-02
2432,Crown Royal,750mL,1,21.99,2016-01-02
8068,Absolut 80 Proof,1.75L,4,24.99,2016-01-02
19748,Clos du Bois Chard,1.5L,1,15.99,2016-01-02
2432,Crown Royal,750mL,3,21.99,2016-01-02
4261,Capt Morgan Spiced Rum,1.75L,2,21.99,2016-01-02
3826,Skyy Vodka,1.75L,6,20.24,2016-01-02
2585,Jameson Irish Whiskey,750mL,2,22.99,2016-01-02
3423,Beefeater,1.75L,2,26.99,2016-01-02
6579,J Lohr Riverstone Chard,750mL,7,9.99,2016-01-02
3505,Tito's Handmade Vodka,750mL,1,18.99,2016-01-02
2120,Canadian Club,1.75L,4,15.99,2016-01-02
3857,Grey Goose Vodka,1.75L,1,48.99,2016-01-02
3876,Smirnoff 80 Proof,1.75L,5,17.99,2016-01-02
8068,Absolut 80 Proof,1.75L,2,24.99,2016-01-02
19748,Clos du Bois Chard,1.5L,1,15.99,2016-01-02
8082,Baileys Irish Cream,1.75L,1,29.99,2016-01-02
5364,Kahlua,1.75L,4,29.99,2016-01-02
2114,Black Velvet Canadian Whisky,1.75L,3,12.99,2016-01-02
3876,Smirnoff 80 Proof,1.75L,8,17.99,2016-01-02
2663,Dewars White Label,1.75L,12,29.99,2016-01-02
1376,Jim Beam,1.75L,8,21.99,2016-01-02
5365,Kahlua,750mL,2,18.99,2016-01-02
8680,Crown Royal,1.75L,1,38.99,2016-01-02
3512,Pinnacle Vodka,1.75L,1,15.99,2016-01-02
3913,Svedka Vodka,1.75L,10,17.99,2016-01-02
19748,Clos du Bois Chard,1.5L,20,15.99,2016-01-02
8068,Absolut 80 Proof,1.75L,4,24.99,2016-01-02
3650,Patron Silver Tequila,750mL,1,48.99,2016-01-02
1232,Jack Daniels No 7 Black,750mL,2,26.99,2016-01-02
4261,Capt Morgan Spiced Rum,1.75L,27,21.99,2016-01-02
4261,Capt Morgan Spiced Rum,1.75L,11,21.99,2016-01-02
1385,Makers Mark,750mL,2,26.99,2016-01-02
3802,Three Olives Vodka,1.75L,1,18.99,2016-01-02
2757,Johnnie Walker Red Label,1.75L,1,29.99,2016-01-02
3802,Three Olives Vodka,1.75L,10,18.99,2016-01-02
8112,Stolichnaya,1.75L,9,24.99,2016-01-02
5365,Kahlua,750mL,3,18.99,2016-01-02
8680,Crown Royal,1.75L,1,38.99,2016-01-02
3180,New Amsterdam Vodka,1.75L,2,16.99,2016-01-02
2757,Johnnie Walker Red Label,1.75L,1,29.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,3,29.99,2016-01-02
1233,Jack Daniels No 7 Black,1.75L,23,35.99,2016-01-02
3545,Ketel One Vodka,1.75L,2,31.99,2016-01-02
1232,Jack Daniels No 7 Black,750mL,4,26.99,2016-01-02
5365,Kahlua,750mL,2,18.99,2016-01-02
2114,Black Velvet Canadian Whisky,1.75L,3,12.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,2,29.99,2016-01-02
8512,Baileys Irish Cream,750mL,1,18.99,2016-01-02
3893,Zhenka 80 Proof,1.75L,10,9.99,2016-01-02
8512,Baileys Irish Cream,750mL,14,19.39,2016-01-02
3405,Tito's Handmade Vodka,1.75L,6,29.99,2016-01-02
2585,Jameson Irish Whiskey,750mL,16,22.99,2016-01-02
3512,Pinnacle Vodka,1.75L,1,15.99,2016-01-02
3405,Tito's Handmade Vodka,1.75L,2,29.99,2016-01-02
3545,Ketel One Vodka,1.75L,10,31.99,2016-01-02
3512,Pinnacle Vodka,1.75L,6,15.99,2016-01-02
2585,Jameson Irish Whiskey,750mL,5,22.99,2016-01-02
8112,Stolichnaya,1.75L,2,24.99,2016-01-02
3505,Tito's Handmade Vodka,750mL,3,18.99,2016-01-02
8512,Baileys Irish Cream,750mL,7,18.99,2016-01-02
14006,Apothic Winemakers Red Blend,750mL,1,9.99,2016-01-02
1233,Jack Daniels No 7 Black,1.75L,4,37.99,2016-01-02
8112,Stolichnaya,1.75L,3,25.37,2016-01-02
3826,Skyy Vodka,1.75L,5,19.99,2016-01-02
1232,Jack Daniels No 7 Black,750mL,2,26.99,2016-01-02
6579,J Lohr Riverstone Chard,750mL,1,9.99,2016-01-02
8512,Baileys Irish Cream,750mL,3,18.99,2016-01-02
3826,Skyy Vodka,1.75L,2,19.99,2016-01-02
19748,Clos du Bois Chard,1.5L,1,15.99,2016-01-02
2663,Dewars White Label,1.75L,1,29.99,2016-01-02
8512,Baileys Irish Cream,750mL,3,18.99,2016-01-02
5138,Fireball Cinnamon Whisky,750mL,5,13.99,2016-01-03
3505,Tito's Handmade Vodka,750mL,2,18.99,2016-01-03
3893,Zhenka 80 Proof,1.75L,1,9.99,2016-01-03
5364,Kahlua,1.75L,2,29.99,2016-01-03
6570,Kendall Jackson Chard Vt RSV,750mL,11,9.95,2016-01-03
3405,Tito's Handmade Vodka,1.75L,9,29.99,2016-01-03
8512,Baileys Irish Cream,750mL,2,18.99,2016-01-03
1233,Jack Daniels No 7 Black,1.75L,3,38.24,2016-01-03
1376,Jim Beam,1.75L,1,21.99,2016-01-03
1385,Makers Mark,750mL,1,26.99,2016-01-03
3913,Svedka Vodka,1.75L,4,17.99,2016-01-03
5103,Fireball Cinnamon Whisky,1.75L,3,25.78,2016-01-03
8680,Crown Royal,1.75L,3,38.99,2016-01-03
14006,Apothic Winemakers Red Blend,750mL,1,9.99,2016-01-03
2663,Dewars White Label,1.75L,1,29.99,2016-01-03
3512,Pinnacle Vodka,1.75L,4,15.99,2016-01-03
5103,Fireball Cinnamon Whisky,1.75L,2,25.78,2016-01-03
6579,J Lohr Riverstone Chard,750mL,9,9.99,2016-01-03
6570,Kendall Jackson Chard Vt RSV,750mL,4,9.95,2016-01-03
2432,Crown Royal,750mL,5,21.99,2016-01-03
3826,Skyy Vodka,1.75L,1,19.99,2016-01-03
5103,Fireball Cinnamon Whisky,1.75L,1,23.99,2016-01-03
19748,Clos du Bois Chard,1.5L,3,15.99,2016-01-03
2114,Black Velvet Canadian Whisky,1.75L,1,12.99,2016-01-03
3802,Three Olives Vodka,1.75L,2,18.99,2016-01-03
2120,Canadian Club,1.75L,4,15.99,2016-01-03
8068,Absolut 80 Proof,1.75L,1,24.99,2016-01-03
3826,Skyy Vodka,1.75L,2,19.99,2016-01-03
1232,Jack Daniels No 7 Black,750mL,1,26.99,2016-01-03
1737,Makers Mark,1.75L,1,48.99,2016-01-03
1376,Jim Beam,1.75L,9,21.99,2016-01-03
4261,Capt Morgan Spiced Rum,1.75L,4,21.99,2016-01-03
6579,J Lohr Riverstone Chard,750mL,2,9.99,2016-01-03
3505,Tito's Handmade Vodka,750mL,5,18.99,2016-01-03
2663,Dewars White Label,1.75L,34,30.92,2016-01-03
3802,Three Olives Vodka,1.75L,1,18.99,2016-01-03
3858,Grey Goose Vodka,750mL,3,23.99,2016-01-03
8068,Absolut 80 Proof,1.75L,1,24.99,2016-01-03
2120,Canadian Club,1.75L,9,15.99,2016-01-03
3405,Tito's Handmade Vodka,1.75L,1,29.99,2016-01-03
3423,Beefeater,1.75L,1,26.99,2016-01-03
8680,Crown Royal,1.75L,1,38.99,2016-01-03
8112,Stolichnaya,1.75L,1,24.99,2016-01-03
1376,Jim Beam,1.75L,1,21.99,2016-01-03
8159,Jose Cuervo Especial,1.75L,1,25.99,2016-01-03
3858,Grey Goose Vodka,750mL,3,23.99,2016-01-03
2757,Johnnie Walker Red Label,1.75L,2,29.99,2016-01-03
6570,Kendall Jackson Chard Vt RSV,750mL,5,9.95,2016-01-03
2663,Dewars White Label,1.75L,1,30.96,2016-01-03
3545,Ketel One Vodka,1.75L,3,31.99,2016-01-03
2432,Crown Royal,750mL,2,21.99,2016-01-03
3650,Patron Silver Tequila,750mL,1,48.99,2016-01-03
6570,Kendall Jackson Chard Vt RSV,750mL,3,9.95,2016-01-03
3545,Ketel One Vodka,1.75L,6,31.99,2016-01-03
3348,Bombay Sapphire Gin,1.75L,1,29.99,2016-01-03
3348,Bombay Sapphire Gin,1.75L,1,29.99,2016-01-03
1233,Jack Daniels No 7 Black,1.75L,3,35.99,2016-01-03
8159,Jose Cuervo Especial,1.75L,2,25.99,2016-01-03
